id,slug,cat_name,category,image,prod_name,link,Collection,supplier,color,brand,pattern,plain,texture,geometric,Pattern,comtemporary,traditional,description,damasks,kids,commercial,mural,stripes,residential
59dfa8ff1df988133a8eabd6,,stockbridge,Stock Bridge,/images/stock_bridge/YW1404.jpg,YW1404,#,STOCKBRIDGE,YORK,MUSTARD,PARK PLACE STUDIO,SILVER,,,,,,,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,,
59dfa8ff1df988133a8eabd7,,stockbridge,Stock Bridge,/images/stock_bridge/YW1418.jpg,YW1418,#,STOCKBRIDGE,YORK,MUSTARD,PARK PLACE STUDIO,SILVER,,,,,,,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,,
59dfa8ff1df988133a8eabd8,,stockbridge,Stock Bridge,/images/stock_bridge/YW1496.jpg,YW1496,#,STOCKBRIDGE,YORK,MUSTARD,PARK PLACE STUDIO,GOLD,,,,,,,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,,
59dfa8ff1df988133a8eabd9,,stockbridge,Stock Bridge,/images/stock_bridge/YW1488.jpg,YW1488,#,STOCKBRIDGE,YORK,RED,PARK PLACE STUDIO,BEIGE,,,,,,,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,,
59dfa8ff1df988133a8eabda,,stockbridge,Stock Bridge,/images/stock_bridge/YW1504.jpg,YW1504,#,STOCKBRIDGE,YORK,GREY,PARK PLACE STUDIO,PINK,,,,,,,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,,
59dfa8ff1df988133a8eabdb,,stockbridge,Stock Bridge,/images/stock_bridge/YW1421.jpg,YW1421,#,STOCKBRIDGE,YORK,GOLD,PARK PLACE STUDIO,RED,,,,,,,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,,
59dfa8ff1df988133a8eabdc,,stockbridge,Stock Bridge,/images/stock_bridge/YW1402.jpg,YW1402,#,STOCKBRIDGE,YORK,GOLD,PARK PLACE STUDIO,RED,,,,,,,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,,
59dfa8ff1df988133a8eabdd,,stockbridge,Stock Bridge,/images/stock_bridge/YW1459.jpg,YW1459,#,STOCKBRIDGE,YORK,BROWN,PARK PLACE STUDIO,BEIGE,,,,,,,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,,
59dfa8ff1df988133a8eabde,,stockbridge,Stock Bridge,/images/stock_bridge/YW1467.jpg,YW1467,#,STOCKBRIDGE,YORK,RED,PARK PLACE STUDIO,WHITE,,,,,,,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,,
59dfa8ff1df988133a8eabdf,,smallprints,Waverly Small Print,/images/WAVERLY_SMALL_PRINTS/WP2481.jpg,WP2481,#,,YORK,BLUE,WAVERLY,SILVER,,,,,,,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,,
